,Component,Waiting,Interpolation,Sending
132300,0.269,0.000,0.001,0.000
135000,0.271,0.000,0.002,0.000
137700,0.268,0.000,0.001,0.000
140400,0.466,0.000,0.001,0.000
143100,0.265,0.000,0.001,0.000
145800,0.267,0.000,0.002,0.000
148500,0.269,0.000,0.001,0.000
151200,0.571,0.000,0.002,0.000
153900,0.258,0.000,0.002,0.000
156600,0.262,0.000,0.002,0.000
159300,0.261,0.000,0.001,0.000
162000,0.453,0.000,0.002,0.000
164700,0.259,0.000,0.002,0.000
167400,0.269,0.000,0.034,0.000
170100,0.262,0.000,0.001,0.000
172800,0.525,0.000,0.001,0.000
175500,0.260,0.000,0.001,0.000
178200,0.267,0.000,0.001,0.000
180900,0.260,0.000,0.002,0.000
183600,0.456,0.000,0.001,0.000
186300,0.261,0.000,0.002,0.000
189000,0.265,0.000,0.002,0.000
191700,0.261,0.000,0.004,0.000
194400,0.529,0.000,0.002,0.000
197100,0.258,0.000,0.002,0.000
199800,0.266,0.000,0.002,0.000
202500,0.269,0.000,0.085,0.000
205200,0.509,0.000,0.001,0.000
207900,0.267,0.000,0.003,0.000
210600,0.270,0.000,0.002,0.000
213300,0.265,0.000,0.001,0.000
216000,0.666,0.000,0.003,0.000
218700,0.266,0.000,0.001,0.000
221400,0.272,0.000,0.002,0.000
224100,0.271,0.000,0.001,0.000
226800,0.466,0.000,0.006,0.000
229500,0.266,0.000,0.002,0.000
232200,0.268,0.000,0.006,0.000
234900,0.265,0.000,0.001,0.000
237600,0.525,0.000,0.002,0.000
240300,0.263,0.000,0.006,0.000
243000,0.273,0.000,0.001,0.000
245700,0.261,0.000,0.003,0.000
248400,0.455,0.000,0.002,0.000
251100,0.305,0.000,0.082,0.000
253800,0.312,0.000,0.004,0.000
256500,0.260,0.000,0.002,0.000
259200,0.528,0.000,0.001,0.000
261900,0.259,0.000,0.003,0.000
264600,0.264,0.000,0.002,0.000
267300,0.267,0.000,0.002,0.000
270000,0.459,0.000,0.004,0.000
272700,0.260,0.000,0.001,0.000
275400,0.264,0.000,0.007,0.000
278100,0.263,0.000,0.001,0.000
280800,0.533,0.000,0.001,0.000
283500,0.260,0.000,0.002,0.000
286200,0.276,0.000,0.005,0.000
288900,0.267,0.000,0.001,0.000
291600,0.468,0.000,0.001,0.000
294300,0.268,0.000,0.002,0.000
297000,0.270,0.000,0.003,0.000
